4.928174351474643918e+05,5.527514139640334062e+06,1.566759327674409619e+00
4.928174366643780959e+05,5.527514515391088091e+06,-4.716425979505176613e+00
4.928174386185185867e+05,5.527514899047646672e+06,-4.717482399351253797e+00
4.928174409835769911e+05,5.527515298367403448e+06,1.564873677813629183e+00
4.928174433483899920e+05,5.527515698218913749e+06,1.564882167742512875e+00
4.928174456990725594e+05,5.527516098067773506e+06,1.564917466747474339e+00
4.928174480376305291e+05,5.527516497915064916e+06,-4.718237541462828588e+00
4.928174501748921466e+05,5.527516863075003959e+06,1.564943447045310965e+00
4.928174514134874335e+05,5.527517075759161264e+06,1.564972755821780304e+00
4.928174537799311220e+05,5.527517505614694208e+06,-4.717894131768688659e+00
4.928174904603835312e+05,5.527517926625096239e+06,-4.799294344592997419e+00
4.928175914793126285e+05,5.527518372126924805e+06,-4.935371438731990246e+00
4.928177613741818350e+05,5.527518787283116952e+06,-5.100827876228041902e+00
4.928180077387301135e+05,5.527519152902495116e+06,-5.305333007982769189e+00
4.928183186936830170e+05,5.527519471342091449e+06,-5.485895889474639908e+00
4.928186750184577540e+05,5.527519735499119386e+06,-5.645251089410143308e+00
4.928190691329693655e+05,5.527519938588497229e+06,-5.807368400688803334e+00
4.928194994201079244e+05,5.527520072986682877e+06,-5.980441338748006430e+00
4.928199362095803954e+05,5.527520113426149823e+06,-6.190865058531277221e+00
4.928203783178467420e+05,5.527520053800006397e+06,-6.417244141722807882e+00
4.928207623246457078e+05,5.527519918694705702e+06,-3.383046148344929782e-01
